plainText,key,cipherText
11101111,0110011101,11110101
11010101,0100000100,00011101
00101100,1001011101,00110000
10010101,0000111011,11110011
11010000,1111000010,00010101
01111111,1111101101,00010101
01101011,1001110101,01111001
01001111,1011111000,01110110
00011010,1000010000,11111001
11010110,0011101110,01001110
01010110,1100110011,01110011
00001110,1111111110,10100110
00000011,1010010010,01011101
01110100,0001100001,10000100
00111101,1000011001,11110001
00000100,0100010100,01011101
11001000,0010011000,00001010
00111110,1001100101,00011111
10010110,1110000011,00100100
00111111,0110010011,00000100
10100011,1010001111,00010000
01010010,0011100010,00010010
00111101,0111101011,01111100
11010111,1000000001,11111101
01101000,0011100010,00011000
01011100,0010101101,00100010
01110101,1000011001,11111111
01010101,0101001000,00111011
01010100,1100000010,11001111
01001011,0111100101,11010010
11001110,1110010001,10101001
01101101,0100001011,10000101
10110100,1100001010,11000001
10110010,0101110111,10000101
00110111,1111110011,11011100
11111101,0110110011,01001011
10001110,1111110011,00001011
10010101,1000101101,11101000
11001100,0000011010,11110110
00011000,1111100101,10010001
10100011,0000100110,01001111
00000001,1101001100,11000110
10100101,0101100111,01011100
11100111,0011001110,00110010
00011000,1010111111,11010000
11001100,0111111110,00011001
11011101,1001110101,01101000
11011010,0101110011,11001000
10111100,0100110110,11101010
00111100,1010000010,11000111
00101110,1001000100,11110101
11110101,0111010110,00000011
10001111,0110011100,10101000
01111011,0100010101,00110110
11110110,0000000101,11000111
00100101,1001001101,10001010
10101001,0101111110,11011101
11111000,1011100010,01000100
10110011,0100101011,10000110
01000000,1111000001,11001011
11001001,1101010010,01010110
01010100,1000101011,00011010
01100001,1001010101,11100001
11100111,0100001010,00101111
11011000,1111110110,00101101
11111001,1001010001,10100000
00001111,0111110010,10100000
00100100,1101101100,10100100
00110101,1110110101,11010010
01101111,1001010111,00001000
01011001,1110101101,00101001
01100001,1010000110,10110000
00010100,0010000001,11010011
00000001,0110001100,10101010
00101100,1010111111,00001010
01110010,1110101110,11110101
11000011,1011101100,10111111
10100101,0001101011,10011111
10000001,0101111101,00101011
00100000,1101010010,00010100
00110110,0110011100,00000001
10000111,1101001110,10110110
01111110,1111101101,10000101
00000100,0100011010,10101111
00111111,0101110100,01010010
00100010,1100000001,11111100
01110001,0101011111,00001111
10001110,1001010010,00100011
01010011,0110011111,00011000
00010100,1100100111,11110010
01101011,1010110000,01011111
00100000,0101010100,10010110
01010001,1011010000,00110111
00100100,0000101100,11010010
10110111,0110110011,00011110
01101100,1011100100,10110000
00001100,1011110011,11001010
11011100,1010011001,10100100
10000111,0110100011,01000110
10110010,1011100111,01101010
00011010,0010010100,01000100
01001001,0010001111,11000101
01000111,1100011111,01001011
11011100,0010010110,11011110
01000000,0111000100,00000011
01010000,1011010100,10110101
10100010,0110011010,11011000
10011010,0011100111,01111000
01010010,1110110000,01001011
10010011,0111001101,00010111
10100100,1000000110,10000100
11010100,1011101110,00000111
11100010,1000100010,10111011
11011001,1011110110,01100010
10110000,0000111101,11011010
10001010,0011000110,00100000
01000101,1100001111,10100000
00110010,1110000001,00011111
11100110,1111001100,10100111
10000101,1010001001,10111101
10100100,1110000111,11000101
10100100,0010011111,01100000
01110100,0010101110,00111001
00001001,1010010001,00110001
11100011,0100100001,00010001
01111010,0001110000,01000001
01001010,0111111001,01001000
11110101,0011101010,10101001
00100101,0110011101,00001111
11011011,0110010001,01011101
00100110,0011010110,11110000
11000110,0000011101,01001011
11011010,0111001010,01111001
11011010,0011011101,11011111
01001011,1000000111,00101010
01100000,0101101011,01111101
01100100,0000100000,10101101
01101001,1111100111,00111101
00111100,0110110111,01001001
01010000,1100000100,11101100
11011000,0100101100,01000000
01011011,0110001011,10101110
11011111,0000011001,11100010
01010011,0100101010,00010101
11100011,0101111011,11110110
00011001,1011110000,11011111
00110010,0000110010,11111111
00001000,0110010000,01011110
11010011,0010110010,10001110
00101110,1000010010,00001011
11101101,0101111100,10011100
01100010,1010100010,00110101
00110110,0010101010,11001011
00000001,1000011111,00111001
11011101,1101001011,10011110
01110010,0101100111,11110110
10101001,1111011010,11010110
11100111,0000111100,10000000
00010111,0001111000,11010001
10111110,0000110111,10001000
10000000,1101111111,01000001
10100110,1000000101,01010010
00110011,0101011000,00011100
01111101,1010100101,11010110
00100101,0110011011,01010110
11110100,0010001100,01101011
01110111,0010100111,01101100
01001011,0011111001,11101010
11011010,1100100001,01100011
10110101,1110111101,11100000
11000110,0011010000,10000001
00010100,1001000010,01001111
11100011,1000100011,10000111
10001000,1100011011,00100100
11000001,0101100100,00010000
01001000,1001011000,10100101
01011100,1110101110,01101001
10010010,0110110000,00111111
10010111,0000001001,01001101
11101011,1011011010,01001001
01101000,0101101110,11111111
01101111,1111100100,10011000
01101011,0110110011,01000010
11010100,1110101000,01010110
01100101,0011111100,00111100
11010011,1011111011,01000101
11111100,0001011101,00000111
11010100,1100011011,00010000
11100010,0011010011,00001011
10110011,1000100101,11000100
01110011,1101010011,00100001
00000110,0011011011,11000110
00110101,1100110101,11111010
10000101,1000111011,11010010
00001101,0010101011,10110001
10000110,1111000011,01101101
11010100,1100110001,01000010
01111011,1011011001,01110001
01010100,0010010111,10111111
11001001,1101110011,10111111
01011001,0001111001,10011000
00010111,1000010011,10011010
11100111,1000011101,01010001
00001100,0111011111,00100110
00000001,1000010101,11001011
10101101,0100011001,00100010
10011010,1101000010,10100100
11110011,1001101011,10000100
01010001,1000011101,00010111
00100101,0100001000,00000010
10100010,1111011000,10011010
10001011,0010001101,00000100
01000111,1111011110,10000001
10001101,1001000110,01101011
10101001,1101101011,01010110
10011000,0000111001,01111001
01011111,1110000000,10010000
11010111,0011011110,00001000
00111110,0011101010,10000110
00101101,0000111101,11001101
01000111,0000010001,00111011
10110011,0101100110,00100111
00000110,0111001001,00001001
10110001,0010111100,00100110
01101111,1110100010,10001011
10101101,0011011000,00100101
10011101,1000010100,10001001
10110101,0010010101,11100100
11111111,1110000001,01010011
00111000,1010100101,00101101
00111011,0011111111,00001100
10010011,0111010000,00001000
01110011,0100111100,11111011
10100100,0100001000,00011001
00111000,0010001010,10100110
01110111,0100110011,11000100
10100110,0110011010,01011101
10101100,0100010011,01101101
10110101,1010110101,01110100
11111001,0000100010,10101010
01100100,1000001011,11001110
01110010,1110110100,10000110
01000110,0111010111,10100001
10110101,0110001010,11111011
01100000,1100010110,10110010
10101000,1101101000,00110110
00111110,1101110000,11110010
11111011,1010001001,10110000
10110000,0111011011,11100001
10001111,0000001101,01101101
01011011,0000011111,01001010
11001011,0010100010,01000100
10100011,0011000101,11010010
10111101,1001011111,11000110
00000001,0001100100,11100010
01100010,0010111000,11101100
01001000,1101111000,10000101
01000111,0010011111,11100100
01110100,0110001011,10011101
10110101,0011111100,00100101
11001110,0111011101,11101011
00001011,1110001110,10110001
01110101,0101001111,11100010
00111000,0001100001,10111110
00110101,1001010101,11001110
10100100,0011011101,01010010
11111111,0000111110,01100000
10001000,1111010001,11101111
00010001,0101001110,11011110
10001000,1111100111,10100000
00000100,1001001110,00101010
11011001,0001100100,00110101
01110001,0000110111,10101011
10000101,1010000101,00001100
10001101,0101001101,00101000
01111010,0100110011,00010010
11011000,1111100010,00101100
10000010,0111000000,10011001
01111010,1011101100,00101001
10111100,0110111000,11011001
00011000,1110011011,11110101
10011010,0011101100,11000011
11111100,0100100010,00011110
01011010,0100010110,11011110
10001100,1110100111,01110111
01100100,0000101111,01011011
00010110,0110001110,11101110
10000011,0001001011,10101011
10111111,1010101100,01000000
11011111,1001100101,11010000
10111101,1100001001,00110110
11010001,1110010101,00001101
01000111,1100010110,11101100
10011111,0100000110,10100111
10100101,1011001100,01000101
00001011,0100001101,11101110
10101010,0101010111,00101000
10111000,0110011000,10111000
01011110,0010110100,10110101
11001000,1000101011,10111001
00011001,0111000010,00111110
11010010,1011101110,11011101
01000110,0010101010,11001110
10010011,1111110011,01110111
10101111,0001110000,01100000
01010101,0100110011,01000111
11111111,0001000101,11101000
00010111,1110101011,01110101
11011010,0000000111,00110000
01101100,1100010000,11101110
11001100,0101011011,10110001
00111101,1111101101,11100010
01100011,0110011011,10001100
10110110,0011101010,11011111
